,0,bill_number,display_name,first_name,id,last_name,party,state
11220,,191,Hatch (R-UT),Orrin,S118,Hatch,R,UT
11221,,191,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
11222,,191,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
11223,,191,Jeffords (I-VT),James,S204,Jeffords,I,VT
11224,,191,Johnson (D-SD),Tim,S257,Johnson,D,SD
11225,,191,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
11226,,191,Kerry (D-MA),John,S173,Kerry,D,MA
11227,,191,Kohl (D-WI),Herb,S209,Kohl,D,WI
11228,,191,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
11229,,191,Leahy (D-VT),Patrick,S057,Leahy,D,VT
11230,,191,Levin (D-MI),Carl,S131,Levin,D,MI
11231,,191,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
11232,,191,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
11233,,191,Lott (R-MS),Trent,S203,Lott,R,MS
11234,,191,Lugar (R-IN),Richard,S105,Lugar,R,IN
11235,,191,McCain (R-AZ),John,S197,McCain,R,AZ
11236,,191,McConnell (R-KY),Mitch,S174,McConnell,R,KY
11237,,191,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
11238,,191,Miller (D-GA),Zell,S273,Miller,D,GA
11239,,191,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
11240,,191,Murray (D-WA),Patty,S229,Murray,D,WA
11241,,191,Nelson (D-FL),Bill,S282,Nelson,D,FL
11242,,191,Nelson (D-NE),E.,S283,Nelson,D,NE
11243,,191,Reed (D-RI),Jack,S259,Reed,D,RI
11244,,191,Reid (D-NV),Harry,S198,Reid,D,NV
11245,,191,Roberts (R-KS),Pat,S260,Roberts,R,KS
11246,,191,Rockefeller (D-WV),John,S176,Rockefeller,D,WV
11247,,191,Santorum (R-PA),Rick,S244,Santorum,R,PA
11248,,191,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
11249,,191,Schumer (D-NY),Charles,S270,Schumer,D,NY
11250,,191,Sessions (R-AL),Jeff,S261,Sessions,R,AL
11251,,191,Shelby (R-AL),Richard,S184,Shelby,R,AL
11252,,191,Smith (R-NH),Bob,S216,Smith,R,NH
11253,,191,Smith (R-OR),Gordon,S262,Smith,R,OR
11254,,191,Snowe (R-ME),Olympia,S245,Snowe,R,ME
11255,,191,Specter (R-PA),Arlen,S161,Specter,R,PA
11256,,191,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
11257,,191,Stevens (R-AK),Ted,S090,Stevens,R,AK
11258,,191,Thomas (R-WY),Craig,S246,Thomas,R,WY
11259,,191,Thompson (R-TN),Fred,S237,Thompson,R,TN
11260,,191,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
11261,,191,Torricelli (D-NJ),Robert,S263,Torricelli,D,NJ
11262,,191,Warner (R-VA),John,S143,Warner,R,VA
11263,,191,Wellstone (D-MN),Paul,S217,Wellstone,D,MN
11264,,191,Wyden (D-OR),Ron,S247,Wyden,D,OR
11265,,192,Akaka (D-HI),Daniel,S213,Akaka,D,HI
11266,,192,Allard (R-CO),Wayne,S250,Allard,R,CO
11267,,192,Allen (R-VA),George,S274,Allen,R,VA
