,bill_number,display_name,first_name,id,last_name,party,state
2454,36,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
2455,36,Durbin (D-IL),Richard,S253,Durbin,D,IL
2456,36,Feingold (D-WI),Russ,S230,Feingold,D,WI
2457,36,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
2458,36,Frist (R-TN),Bill,S241,Frist,R,TN
2459,36,Graham (R-SC),Lindsey,S293,Graham,R,SC
2460,36,Grassley (R-IA),Charles,S153,Grassley,R,IA
2461,36,Gregg (R-NH),Judd,S224,Gregg,R,NH
2462,36,Hagel (R-NE),Chuck,S255,Hagel,R,NE
2463,36,Harkin (D-IA),Tom,S172,Harkin,D,IA
2464,36,Hatch (R-UT),Orrin,S118,Hatch,R,UT
2465,36,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
2466,36,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
2467,36,Jeffords (I-VT),James,S204,Jeffords,I,VT
2468,36,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
2469,36,Kerry (D-MA),John,S173,Kerry,D,MA
2470,36,Kohl (D-WI),Herb,S209,Kohl,D,WI
2471,36,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
2472,36,Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ
2473,36,Leahy (D-VT),Patrick,S057,Leahy,D,VT
2474,36,Levin (D-MI),Carl,S131,Levin,D,MI
2475,36,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
2476,36,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
2477,36,Lott (R-MS),Trent,S203,Lott,R,MS
2478,36,Lugar (R-IN),Richard,S105,Lugar,R,IN
2479,36,Martinez (R-FL),Mel,S304,Martinez,R,FL
2480,36,McCain (R-AZ),John,S197,McCain,R,AZ
2481,36,McConnell (R-KY),Mitch,S174,McConnell,R,KY
2482,36,Murray (D-WA),Patty,S229,Murray,D,WA
2483,36,Nelson (D-NE),E.,S283,Nelson,D,NE
2484,36,Obama (D-IL),Barack,S298,Obama,D,IL
2485,36,Pryor (D-AR),Mark,S295,Pryor,D,AR
2486,36,Reed (D-RI),John,S259,Reed,D,RI
2487,36,Reid (D-NV),Harry,S198,Reid,D,NV
2488,36,Roberts (R-KS),Pat,S260,Roberts,R,KS
2489,36,Salazar (D-CO),Ken,S297,Salazar,D,CO
2490,36,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
2491,36,Schumer (D-NY),Charles,S270,Schumer,D,NY
2492,36,Sessions (R-AL),Jeff,S261,Sessions,R,AL
2493,36,Shelby (R-AL),Richard,S184,Shelby,R,AL
2494,36,Snowe (R-ME),Olympia,S245,Snowe,R,ME
2495,36,Specter (R-PA),Arlen,S161,Specter,R,PA
2496,36,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
2497,36,Stevens (R-AK),Ted,S090,Stevens,R,AK
2498,36,Sununu (R-NH),John,S296,Sununu,R,NH
2499,36,Talent (R-MO),Jim,S286,Talent,R,MO
2500,36,Thomas (R-WY),Craig,S246,Thomas,R,WY
2501,36,Thune (R-SD),John,S303,Thune,R,SD
2502,36,Vitter (R-LA),David,S299,Vitter,R,LA
2503,36,Voinovich (R-OH),George,S271,Voinovich,R,OH
2504,36,Warner (R-VA),John,S143,Warner,R,VA
2505,36,Wyden (D-OR),Ron,S247,Wyden,D,OR
2506,37,Akaka (D-HI),Daniel,S213,Akaka,D,HI
2507,37,Baucus (D-MT),Max,S127,Baucus,D,MT
2508,37,Bayh (D-IN),Evan,S264,Bayh,D,IN
2509,37,Biden (D-DE),Joseph,S010,Biden,D,DE
2510,37,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
2511,37,Boxer (D-CA),Barbara,S223,Boxer,D,CA
2512,37,Byrd (D-WV),Robert,S017,Byrd,D,WV
